x,y,PanCK+,CAIX+,Pimo+,Necrosis,Celltype
144.42,2549.69,0,0,0,0,CD8
140.30,3653.00,1,0,0,0,CD8
143.65,2712.59,1,0,0,0,CD8
142.61,2747.93,0,0,0,0,CD8
144.62,1910.92,1,0,1,0,CD8
142.19,2760.57,0,0,0,0,CD8
145.86,2937.27,0,0,0,0,CD8
140.90,3203.33,0,0,0,0,CD8
144.78,3542.97,1,0,0,0,CD8
138.64,3637.23,1,0,0,0,CD8
143.83,3764.86,1,0,0,0,CD8
141.84,3558.04,1,0,0,0,CD8
147.26,2776.69,0,0,0,0,CD8
149.36,1178.47,1,0,1,0,CD8
149.09,1290.93,1,0,1,0,CD8
152.35,2818.16,0,0,0,0,CD8
148.83,2734.66,0,0,0,0,CD8
147.74,2860.07,0,0,0,0,CD8
148.84,2088.98,1,0,0,0,CD8
148.32,4034.17,1,0,1,0,CD8
155.60,424.38,0,0,0,0,CD8
152.54,849.27,1,0,1,0,CD8
153.45,3006.21,0,0,0,0,CD8
155.83,2761.13,0,0,0,0,CD8
155.94,3657.85,1,0,0,0,CD8
157.98,2658.44,0,0,0,0,CD8
153.43,2697.68,0,1,0,0,CD8
155.07,2987.67,0,0,0,0,CD8
154.91,3520.85,1,0,0,0,CD8
153.04,3410.16,1,0,0,0,CD8
159.66,99.71,0,0,0,0,CD8
156.28,2391.77,0,0,0,0,CD8
160.14,2685.10,0,0,0,0,CD8
158.13,3680.93,1,0,0,0,CD8
159.35,3222.68,1,0,0,0,CD8
164.73,2671.71,0,0,0,0,CD8
157.63,2870.64,0,0,0,0,CD8
157.16,1401.39,1,0,1,0,CD8
158.02,2166.16,0,0,0,0,CD8
159.80,2720.53,1,0,0,0,CD8
163.60,2783.57,1,1,0,0,CD8
168.02,2834.04,0,0,0,0,CD8
161.12,2903.46,0,0,0,0,CD8
161.99,3130.60,1,1,0,0,CD8
165.26,2707.95,0,0,0,0,CD8
165.41,2916.85,1,0,0,0,CD8
165.26,2850.64,0,0,0,0,CD8
162.34,672.68,0,0,0,0,CD8
163.93,715.53,1,0,0,0,CD8
165.08,873.55,1,0,1,0,CD8
162.88,2736.79,0,0,0,0,CD8
164.56,2934.93,0,0,0,0,CD8
163.19,3147.55,1,0,0,0,CD8
167.64,1451.99,1,0,1,0,CD8
165.25,3636.89,1,0,0,0,CD8
164.37,3726.04,1,0,0,0,CD8
166.41,548.57,0,0,0,0,CD8
180.13,2741.74,1,0,0,0,CD8
171.02,2804.26,1,0,0,0,CD8
168.44,2983.68,0,0,0,0,CD8
168.21,3527.11,1,0,0,0,CD8
168.29,2764.23,1,1,0,0,CD8
168.47,2148.18,0,0,0,0,CD8
173.29,2208.95,0,0,0,0,CD8
171.63,2341.26,0,0,0,0,CD8
173.36,2617.31,0,0,0,0,CD8
172.15,733.87,1,0,0,0,CD8
