x,y,PanCK+,CAIX+,Pimo+,Necrosis,Celltype
337.75,3790.23,1,0,0,0,CD8
341.09,2047.26,0,0,0,0,CD8
343.88,1619.36,1,0,0,0,CD8
344.05,2332.60,0,0,0,0,CD8
344.93,1576.83,1,0,0,0,CD8
347.28,3783.23,1,0,0,0,CD8
344.01,329.66,0,0,0,0,CD8
341.76,1032.65,0,0,0,0,CD8
343.00,1484.81,1,0,0,0,CD8
344.34,1742.23,1,0,0,0,CD8
346.57,1499.61,0,1,0,0,CD8
345.99,402.26,0,0,0,0,CD8
348.78,2798.92,1,0,0,0,CD8
349.21,267.37,1,0,0,0,CD8
356.07,1515.03,0,0,0,0,CD8
356.00,1859.53,1,0,0,0,CD8
357.50,275.46,1,0,0,0,CD8
354.40,2050.95,0,0,0,0,CD8
359.01,867.39,1,0,0,0,CD8
355.61,2307.32,0,0,0,0,CD8
359.91,306.81,0,0,0,0,CD8
364.99,1145.58,0,0,0,0,CD8
359.82,1572.08,1,0,0,0,CD8
363.14,258.39,1,0,0,0,CD8
362.18,1165.60,0,0,0,0,CD8
364.23,2587.23,1,0,0,0,CD8
361.74,1449.13,1,0,0,0,CD8
370.11,2701.57,1,0,0,0,CD8
369.74,1434.68,1,0,0,0,CD8
369.67,1631.21,1,0,0,0,CD8
365.52,2058.45,0,0,0,0,CD8
375.63,602.20,1,0,0,0,CD8
368.48,759.28,0,0,0,0,CD8
371.97,2321.45,0,0,0,0,CD8
374.00,2843.11,1,0,0,0,CD8
374.61,267.48,1,0,0,0,CD8
382.04,998.61,1,0,0,0,CD8
370.48,1553.21,1,0,0,0,CD8
376.62,1579.35,1,0,0,0,CD8
372.08,3009.98,1,0,1,1,CD8
377.57,519.38,1,0,0,0,CD8
379.39,1645.62,1,0,0,0,CD8
381.26,2454.14,0,0,0,0,CD8
377.38,2876.70,1,0,0,0,CD8
378.84,966.35,1,0,0,0,CD8
376.31,2625.62,1,0,0,0,CD8
380.37,1971.73,1,0,0,0,CD8
379.96,4452.71,1,0,0,0,CD8
384.90,163.55,1,0,0,0,CD8
386.06,1854.05,1,0,0,0,CD8
389.82,1630.17,1,0,0,0,CD8
387.88,2410.34,0,0,0,0,CD8
386.30,2670.72,1,0,0,0,CD8
392.23,354.08,1,0,0,0,CD8
398.65,1924.28,1,0,0,0,CD8
398.11,2363.82,0,0,0,0,CD8
392.05,2879.54,1,0,0,0,CD8
392.10,692.59,1,0,0,0,CD8
393.62,878.20,1,0,0,0,CD8
398.39,1353.88,1,0,0,0,CD8
400.07,4120.74,1,0,0,0,CD8
399.60,224.35,1,0,0,0,CD8
402.58,1424.59,1,0,0,0,CD8
400.65,1762.74,1,0,0,0,CD8
399.74,1517.21,0,0,0,0,CD8
402.58,2376.84,0,0,0,0,CD8
403.66,1625.54,1,0,0,0,CD8
407.19,2760.19,1,0,0,0,CD8
406.51,735.17,0,0,0,0,CD8
405.15,985.56,1,0,0,0,CD8
410.56,767.73,0,0,0,0,CD8
406.99,1010.53,1,0,0,0,CD8
409.38,1699.51,1,0,0,0,CD8
411.68,1667.89,1,0,0,0,CD8
415.91,2111.09,1,0,0,0,CD8
412.16,4037.16,1,0,0,0,CD8
413.55,2882.92,1,0,0,0,CD8
417.59,2061.80,0,0,0,0,CD8
417.95,2155.48,1,0,0,0,CD8
420.71,2840.53,0,0,0,0,CD8
420.97,746.61,1,0,0,0,CD8
422.59,2033.96,0,0,0,0,CD8
422.50,1729.56,1,0,0,0,CD8
428.78,16.94,1,0,0,0,CD8
429.85,534.76,1,0,0,0,CD8
427.71,703.87,1,0,0,0,CD8
430.97,2162.53,1,0,0,0,CD8
431.61,2605.44,1,0,0,0,CD8
431.54,998.53,1,0,0,0,CD8
430.95,1585.04,1,0,0,0,CD8
433.16,234.21,1,0,0,0,CD8
434.47,1668.19,0,0,0,0,CD8
432.26,2423.21,0,0,0,0,CD8
436.97,2681.04,1,0,0,0,CD8
436.85,4414.94,0,0,0,0,CD8
439.79,3994.90,1,0,0,0,CD8
445.03,2412.06,0,0,0,0,CD8
440.35,2739.85,1,0,0,0,CD8
446.96,1556.86,1,0,0,0,CD8
442.22,1921.23,1,0,0,0,CD8
439.08,2765.96,1,0,0,0,CD8
445.84,2900.22,1,0,0,0,CD8
444.71,3930.01,1,0,0,0,CD8
446.36,1690.87,0,0,0,0,CD8
447.29,2698.97,1,0,0,0,CD8
449.13,15.20,1,0,1,0,CD8
450.38,2074.05,1,0,0,0,CD8
450.45,1725.83,1,0,0,0,CD8
452.33,1751.64,1,0,0,0,CD8
452.54,4012.95,1,0,0,0,CD8
456.51,340.84,0,0,0,0,CD8
455.80,1171.92,0,0,0,0,CD8
457.05,1235.59,0,0,0,0,CD8
455.32,2819.33,1,0,0,0,CD8
459.34,1475.43,1,0,0,0,CD8
456.50,1581.60,1,0,0,0,CD8
456.89,2437.86,0,0,0,0,CD8
462.75,2868.37,1,0,0,0,CD8
462.25,2592.35,1,0,0,0,CD8
459.40,3894.30,1,0,0,0,CD8
459.95,1686.59,1,0,0,0,CD8
460.13,2173.77,1,0,0,0,CD8
461.01,2404.47,0,0,0,0,CD8
458.82,3103.51,0,0,1,1,CD8
464.48,1564.63,1,0,0,0,CD8
462.98,1933.69,1,0,0,0,CD8
467.14,139.10,1,0,0,0,CD8
467.17,4196.13,1,0,0,0,CD8
463.81,2084.01,1,0,0,0,CD8
464.70,373.94,0,0,0,0,CD8
471.88,1491.01,0,0,0,0,CD8
470.09,1624.72,1,0,0,0,CD8
472.46,4183.65,1,0,0,0,CD8
471.76,2350.86,0,0,0,0,CD8
468.09,1504.69,0,0,1,0,CD8
472.60,2335.23,0,0,0,0,CD8
470.41,3902.70,1,0,0,0,CD8
474.56,993.18,0,0,0,0,CD8
474.38,1175.56,0,0,0,0,CD8
471.28,1273.28,0,0,0,0,CD8
474.05,2656.52,1,0,0,0,CD8
473.39,350.11,0,0,0,0,CD8
477.16,699.15,0,0,0,0,CD8
476.10,1406.77,1,0,0,0,CD8
480.68,2626.54,1,0,0,0,CD8
474.48,3391.31,1,0,0,0,CD8
478.00,4164.69,1,0,0,0,CD8
475.94,1035.13,1,0,0,0,CD8
479.55,1660.52,1,0,0,0,CD8
478.84,2049.20,1,0,0,0,CD8
481.21,2584.96,1,0,0,0,CD8
487.95,283.37,1,0,0,0,CD8
484.37,1211.00,0,0,0,0,CD8
484.12,220.24,1,0,0,0,CD8
483.40,2412.55,0,0,0,0,CD8
485.31,261.27,1,0,0,0,CD8
487.35,1549.35,1,0,0,0,CD8
491.21,2314.04,0,0,0,0,CD8
487.25,4251.57,1,0,0,0,CD8
490.35,4337.01,1,0,0,0,CD8
491.18,1408.20,1,0,0,0,CD8
493.37,1522.23,0,0,0,0,CD8
491.86,1917.71,1,0,0,0,CD8
492.34,2703.36,1,0,0,0,CD8
491.79,2356.31,0,0,0,0,CD8
495.41,2021.14,1,0,0,0,CD8
496.00,4113.54,1,0,0,0,CD8
498.86,2403.99,0,0,0,0,CD8
496.77,3052.36,1,0,1,1,CD8
495.47,4075.94,1,0,0,0,CD8
498.82,4380.92,0,0,0,0,CD8
504.47,383.05,0,0,0,0,CD8
500.09,709.17,0,0,0,0,CD8
508.54,2439.11,0,0,0,0,CD8
502.34,1050.70,1,0,0,0,CD8
500.46,1188.19,0,0,0,0,CD8
504.62,2666.65,1,0,0,0,CD8
509.53,1534.94,0,0,0,0,CD8
511.99,310.33,0,0,0,0,CD8
513.23,1631.69,1,0,0,0,CD8
510.68,1760.65,1,0,0,0,CD8
508.50,4442.35,1,0,0,0,CD8
511.13,355.12,0,0,0,0,CD8
515.78,2690.64,1,0,0,0,CD8
519.67,527.26,0,0,0,0,CD8
520.25,1707.44,1,0,0,0,CD8
519.73,386.52,0,0,0,0,CD8
522.17,1595.36,1,0,0,0,CD8
523.01,2726.87,1,0,0,0,CD8
526.36,1990.78,1,0,0,0,CD8
528.54,2334.76,1,0,0,0,CD8
528.42,2297.72,1,0,0,0,CD8
531.51,4454.63,1,0,0,0,CD8
528.79,184.13,1,0,0,0,CD8
526.92,440.15,1,0,0,0,CD8
528.45,4495.41,1,0,0,0,CD8
531.40,234.79,1,0,0,0,CD8
529.26,1399.09,1,0,0,0,CD8
531.73,2025.35,1,0,0,0,CD8
534.33,2345.27,1,0,0,0,CD8
529.84,2668.77,1,0,0,0,CD8
529.90,4022.37,1,0,0,0,CD8
533.56,1489.69,0,0,0,0,CD8
534.12,1518.06,0,0,0,0,CD8
533.12,1537.19,0,0,0,0,CD8
534.60,2403.85,0,0,0,0,CD8
532.28,4423.37,1,0,0,0,CD8
538.11,720.71,1,0,0,0,CD8
542.15,2431.59,0,0,0,0,CD8
539.29,4217.47,1,0,0,0,CD8
542.94,141.34,1,0,0,0,CD8
543.61,225.38,1,0,0,0,CD8
542.32,1045.57,0,0,0,0,CD8
544.43,3935.08,0,0,0,0,CD8
547.28,4342.31,0,0,0,0,CD8
547.17,2367.28,0,0,0,0,CD8
549.02,373.83,0,0,0,0,CD8
542.44,850.61,1,0,0,0,CD8
545.57,1250.18,0,0,0,0,CD8
545.33,1595.47,1,0,0,0,CD8
547.74,2400.22,0,0,0,0,CD8
552.81,3955.87,0,0,0,0,CD8
550.98,4099.62,1,0,0,0,CD8
553.13,1460.07,0,0,0,0,CD8
552.21,2130.31,1,0,0,0,CD8
555.55,1576.79,1,0,0,0,CD8
555.49,2315.92,1,0,0,0,CD8
550.80,2562.13,1,0,0,0,CD8
550.42,4075.24,1,0,0,0,CD8
556.21,4426.23,1,0,0,0,CD8
556.58,235.15,1,0,0,0,CD8
557.43,349.55,0,0,0,0,CD8
553.69,1345.93,0,0,0,0,CD8
559.87,2677.01,1,0,0,0,CD8
559.47,2376.38,0,0,0,0,CD8
558.81,2432.30,0,0,0,0,CD8
562.93,539.70,0,0,0,0,CD8
560.80,1139.90,1,0,1,0,CD8
563.06,2570.41,1,0,0,0,CD8
562.44,4239.81,1,0,0,0,CD8
560.56,4382.82,0,0,0,0,CD8
562.59,3937.81,0,0,0,0,CD8
563.77,4003.04,1,0,0,0,CD8
567.76,2338.34,1,0,0,0,CD8
563.92,2351.47,1,0,0,0,CD8
567.12,412.71,0,0,0,0,CD8
569.13,386.30,0,0,0,0,CD8
570.07,2362.77,1,0,0,0,CD8
571.28,174.45,1,0,0,0,CD8
574.25,204.25,1,0,0,0,CD8
570.48,614.43,1,0,0,0,CD8
575.89,4016.59,1,0,0,0,CD8
574.77,316.75,0,0,0,0,CD8
575.85,1562.20,0,0,0,0,CD8
578.78,1798.01,1,0,0,0,CD8
577.48,2313.00,1,0,0,0,CD8
580.69,2705.03,1,0,0,0,CD8
579.85,3914.73,0,1,0,0,CD8
